clusters,silhouette_score,sse
2,0.009017827545208152,12867.153843847233
3,0.010401298526680905,12793.395873591639
4,0.011795855852627895,12734.27977231892
5,0.014824929677889972,12626.980567856726
6,0.015705667254815252,12588.405171743925
7,0.018612043989912803,12501.323932915635
8,0.018857100409086627,12481.390673601876
9,0.02061649550498281,12428.17233746142
10,0.021469998858038335,12384.859190379448
15,0.027331100014815868,12171.432110206571
20,0.030004448025096903,12039.900916888171
25,0.031834849293777404,11895.680696593636
30,0.034985858033749734,11769.714274902622
35,0.03825460393749419,11698.203041097555
40,0.04169680337495178,11531.82827371106
45,0.029811078710291063,11665.44417050411
50,0.04373196535553442,11390.624698805384
60,0.05040851316184141,11134.842529030728
70,0.05101233827256853,10978.79287479265
80,0.04396595518934756,11078.469319133217
90,0.056335431866675195,10790.785391668443
100,0.06068019996735614,10609.547982059732
150,0.0605304702322571,10274.601690695421
200,0.06365891276154735,9830.435159464616
250,0.0679993844513154,9514.396950591847
300,0.06981321956721115,9188.550740945408
350,0.07298119186162949,8921.888902165574
400,0.07642324149038074,8679.824876252316
450,0.07913026896844907,8466.27972527164
500,0.08637485370609777,8230.219972606497
600,0.08972909106695445,7910.442658043058
700,0.09549664067081585,7621.187034958763
800,0.0976701387294608,7371.85897600158
900,0.10284761609204127,7171.025861649874
1000,0.10788828756169043,6943.415905418566
1250,0.12124925509806361,6517.798417061072
1500,0.130310804436363,6141.083337047813
1750,0.14485593014881062,5824.369594887401
2000,0.1545231943917355,5521.9259468270275