components,silhouette_score,sse
1,0.572235817377854,8.738024434768569e-05
5,0.21464909950669522,1.0397000210703415
10,0.20699508665713867,8.004134776782653
15,0.20751820534853477,19.238224503298223
20,0.2308376525621878,38.457863903644984
25,0.22442350721872514,65.8073183343166
30,0.24185420043893266,96.6634606766784
35,0.2523645821738306,131.08372253513076
40,0.2592420279351058,170.69521915183785
45,0.24555434966048445,220.43471869976327
50,0.2526307537152837,265.81970805994087
55,0.25708505089556866,310.6559441904942
60,0.24764773496290035,359.63901605198146
65,0.245437906397129,410.467441723279
70,0.2466859539384657,466.80701576298355
75,0.2575922261195674,518.1803398240153
80,0.23685559302443715,574.2154455545848
85,0.24301241293386375,620.9050568999569
90,0.23378641494693073,682.1475700373846
95,0.23711664428798368,733.979216981397
100,0.22195843072802277,786.0635724586131
105,0.21919068515684353,847.7977815666152
110,0.20805791170584773,898.1936833716194
115,0.19915039793860187,956.1900913641715
120,0.2224657853569397,1012.0534424043876