,Silhouette score,,,
clusters amount,word2vec,word2vec_normalized,bags,bags_normalized
2,0.03966318717,0.03729260482,0.008991481659,0.009017827545
3,-0.003935622288,0.002072627171,0.01130277069,0.01040129853
4,-0.002250954081,0.004639893911,0.01239214842,0.01179585585
5,0.001235238864,0.007225969719,0.01416509439,0.01482492968
6,0.00322297781,0.009479414802,0.01661556864,0.01570566725
7,0.003802267448,0.01097708837,0.01669367617,0.01861204399
8,-0.009179920961,0.0002306815351,0.01843291601,0.01885710041
9,-0.003945454525,0.001402768197,0.02011851492,0.0206164955
10,0.0007885503443,-0.008594672129,0.02132295525,0.02146999886
15,-0.01579030252,-8.22E-05,0.02724279673,0.02733110001
20,-0.01354896005,0.005207456948,0.02747116467,0.03000444803
25,-0.01173846473,0.004006927149,0.03263659996,0.03183484929
30,-0.01016007255,0.001346443764,0.03745260735,0.03498585803
35,-0.008457799045,0.003155667927,0.03718185207,0.03825460394
40,-0.01194423476,0.004027493678,0.04128713581,0.04169680337
45,-0.01433842306,0.001460741727,0.03164611226,0.02981107871
50,-0.01148969038,0.0004772039114,0.04248146151,0.04373196536
60,-0.008528625676,0.003677499135,0.04731843021,0.05040851316
70,-0.01495348731,0.002930168495,0.05087331376,0.05101233827
80,-0.0110835082,0.003683168301,0.05412649037,0.04396595519
90,-0.0159057834,0.007257669774,0.03972691037,0.05633543187
100,-0.01310833891,0.00642348096,0.04258714638,0.06068019997
150,-0.01297992387,0.008793125654,0.05951871754,0.06053047023
200,-0.007825919139,0.01300258267,0.06266682371,0.06365891276
250,-0.004078873509,0.0172958723,0.06562871138,0.06799938445
300,0.0002777092557,0.01828893023,0.07052408654,0.06981321957
350,0.00195971596,0.01880424596,0.07476942241,0.07298119186
400,0.008557750468,0.02458403244,0.08079643688,0.07642324149
450,0.006036008919,0.02590704135,0.08858392663,0.07913026897
500,0.01010377124,0.02660998134,0.08636163391,0.08637485371
600,0.0137978195,0.02993661043,0.08832878358,0.08972909107
700,0.01882327265,0.03380554453,0.09251576124,0.09549664067
800,0.02637867366,0.03639880492,0.09932029932,0.09767013873
900,0.02687617731,0.04019450261,0.1076822307,0.1028476161
1000,0.02538329822,0.04008589962,0.11031857,0.1078882876
1250,0.03150119233,0.04649320847,0.1214537406,0.1212492551
1500,0.04137443697,0.05525015226,0.1329541155,0.1303108044
1750,0.04470428224,0.06150025323,0.1442469894,0.1448559301
2000,0.04992009101,0.06785205708,0.1542450524,0.1545231944