,Sum of squared errors,,,
clusters amount,word2vec,word2vec_normalized,bags,bags_normalized
2,1738.580779,5937.414977,12857.98821,12867.15384
3,1713.977246,5848.768449,12788.65165,12793.39587
4,1694.093516,5783.223305,12708.65226,12734.27977
5,1678.041404,5726.083319,12649.41038,12626.98057
6,1664.614934,5675.116745,12579.66128,12588.40517
7,1650.592052,5632.207932,12544.07689,12501.32393
8,1639.360375,5590.375545,12484.09088,12481.39067
9,1629.240053,5554.744152,12424.9399,12428.17234
10,1619.342924,5523.387728,12381.32266,12384.85919
15,1579.816586,5.39E+03,12163.73057,12171.43211
20,1554.35303,5309.933999,12066.28997,12039.90092
25,1537.770427,5242.869389,11859.17866,11895.6807
30,1519.316914,5189.510981,11719.35448,11769.71427
35,1505.296262,5133.117916,11654.27448,11698.20304
40,1495.561969,5102.543927,11534.35788,11531.82827
45,1485.416164,5056.3546,11686.10174,11665.44417
50,1476.438588,5024.066108,11382.72826,11390.6247
60,1458.192527,4962.340107,11185.93624,11134.84253
70,1442.34937,4912.605291,11007.67308,10978.79287
80,1429.053056,4871.259083,10845.6888,11078.46932
90,1418.302466,4825.666885,10945.44849,10790.78539
100,1406.720787,4791.978284,10855.19039,10609.54798
150,1364.618956,4654.497877,10260.60354,10274.60169
200,1333.323668,4548.466922,9867.32109,9830.435159
250,1306.147434,4455.539976,9507.263433,9514.396951
300,1283.150218,4393.883526,9165.004359,9188.550741
350,1261.680601,4321.263206,8915.031878,8921.888902
400,1246.305027,4267.137807,8669.206669,8679.824876
450,1226.471494,4212.685444,8400.768929,8466.279725
500,1212.189458,4167.541629,8244.121976,8230.219973
600,1181.507309,4073.211913,7909.747274,7910.442658
700,1154.108965,3985.406839,7635.983477,7621.187035
800,1132.206075,3917.121594,7361.451795,7371.858976
900,1108.958846,3845.342947,7134.418864,7171.025862
1000,1087.889852,3780.432766,6945.982562,6943.415905
1250,1037.375084,3613.617901,6499.123096,6517.798417
1500,988.1410868,3467.642716,6136.356948,6141.083337
1750,944.662276,3326.126418,5816.276137,5824.369595
2000,902.297943,3187.677458,5525.312372,5521.925947